filename,estimated_calories,range_low,range_high,confidence,foods,assumptions,error
00d1b98e-IMG_5920_aug0.jpg,0,0,0,low,[],"[""No food items from the provided list or any other recognizable food items are visible in the image.""]",False
0200d27a-IMG_5982.jpg,23,19,30,medium,"[{""name"": ""pretzel crisp"", ""estimated_calories"": 10}, {""name"": ""pretzel crisp"", ""estimated_calories"": 10}, {""name"": ""popcorn"", ""estimated_calories"": 1}, {""name"": ""popcorn"", ""estimated_calories"": 1}, {""name"": ""popcorn"", ""estimated_calories"": 1}]","[""The two large items are pretzel crisps, with each piece estimated to be roughly the size of one standard crisp."", ""The popcorn is plain and air-popped, with minimal to no added butter or oil.""]",False
03caea5b-IMG_5882.jpg,121,109,141,low,"[{""name"": ""popcorn"", ""estimated_calories"": 15}, {""name"": ""oreo"", ""estimated_calories"": 106}]","[""The dark, round objects are standard Oreo cookies."", ""The popcorn pieces are plain, air-popped, and of a moderate size/cluster."", ""No additional butter, oil, or seasoning was added to the popcorn.""]",False
09ebdcaa-IMG_5850.jpg,108,95,116,medium,"[{""name"": ""oreo"", ""estimated_calories"": 53}, {""name"": ""pretzel crisp"", ""estimated_calories"": 24}, {""name"": ""roasted chestnut"", ""estimated_calories"": 18}, {""name"": ""sour patch kid"", ""estimated_calories"": 12}, {""name"": ""popcorn"", ""estimated_calories"": 1}]","[""The Oreo cookie is a standard size."", ""The pretzel crisps are standard size."", ""The roasted chestnut is a medium size."", ""The popcorn is a single, small popped kernel."", ""The Sour Patch Kid is a standard size.""]",False
0bfbc8b7-IMG_5777_aug1.jpg,136,70,200,low,"[{""name"": ""Oreo"", ""estimated_calories"": 53}, {""name"": ""Oreo"", ""estimated_calories"": 53}, {""name"": ""Roasted chestnut"", ""estimated_calories"": 30}]","[""The image is extremely dark, making precise identification of food items challenging."", ""Two dark, round objects are assumed to be standard Oreo cookies."", ""One irregular, textured object is assumed to be a medium roasted chestnut."", ""Standard calorie counts for these items are used.""]",False
0c439b9b-IMG_5894_aug0.jpg,188,167,225,medium,"[{""name"": ""oreo"", ""estimated_calories"": 53}, {""name"": ""milano cookie"", ""estimated_calories"": 75}, {""name"": ""sour patch kid"", ""estimated_calories"": 12}, {""name"": ""roasted chestnut"", ""estimated_calories"": 18}, {""name"": ""pretzel crisp"", ""estimated_calories"": 25}, {""name"": ""popcorn"", ""estimated_calories"": 5}]","[""The dark round cookie is an Oreo."", ""The white oval cookie is a Milano cookie."", ""The red gummy candy is a Sour Patch Kid."", ""The dark oval item is a roasted chestnut."", ""The yellow, textured item is a pretzel crisp."", ""The small white irregular piece is popcorn."", ""Standard sizes and preparations for each item.""]",False
0e27aeaa-IMG_5813.jpg,149,111,200,medium,"[{""name"": ""popcorn"", ""estimated_calories"": 3}, {""name"": ""pretzel"", ""estimated_calories"": 110}, {""name"": ""sour patch kid"", ""estimated_calories"": 12}, {""name"": ""swedish fish"", ""estimated_calories"": 12}, {""name"": ""swedish fish"", ""estimated_calories"": 12}]","[""The popcorn is plain and unbuttered."", ""The pretzel is a large hard pretzel."", ""The gummy candies are standard size Sour Patch Kids and Swedish Fish.""]",False
0e27aeaa-IMG_5813_aug1.jpg,68,55,95,low,"[{""name"": ""Sour Patch Kid"", ""estimated_calories"": 11}, {""name"": ""Sour Patch Kid"", ""estimated_calories"": 11}, {""name"": ""Sour Patch Kid"", ""estimated_calories"": 11}, {""name"": ""Popcorn"", ""estimated_calories"": 10}, {""name"": ""Roasted Chestnut"", ""estimated_calories"": 25}]","[""The three reddish, irregular shapes are Sour Patch Kids."", ""The white, lumpy shape is a small cluster of popcorn."", ""The larger, brownish, irregular shape is a roasted chestnut."", ""Standard calorie counts for these items are used.""]",False
15d4898d-IMG_5958.jpg,122,105,135,medium,"[{""name"": ""Oreo"", ""estimated_calories"": 53}, {""name"": ""roasted chestnut"", ""estimated_calories"": 30}, {""name"": ""sour patch kid"", ""estimated_calories"": 39}]","[""The Oreo is a regular size."", ""The roasted chestnut is a medium size."", ""There are 3 standard size Sour Patch Kids."", ""One item resembling a ladyfinger biscuit was not included as it does not fit the provided food categories.""]",False
19ad81f6-IMG_5824_aug0.jpg,93,82,115,medium,"[{""name"": ""Sour Patch Kid (green)"", ""estimated_calories"": 12}, {""name"": ""Sour Patch Kid (pink)"", ""estimated_calories"": 12}, {""name"": ""Oreo"", ""estimated_calories"": 53}, {""name"": ""Popcorn"", ""estimated_calories"": 4}, {""name"": ""Swedish Fish"", ""estimated_calories"": 12}]","[""The dark round item is an Oreo cookie."", ""The red gummy is a Swedish Fish."", ""The white irregular items are small pieces of popcorn."", ""Standard sizes for candies and cookie are assumed.""]",False
